"WeekEndingDate","Country","HBT","TreatmentLocation","DepartmentType","NumberOfAttendancesEpisode","NumberWithin4HoursEpisode","NumberOver4HoursEpisode","PercentageWithin4HoursEpisode","NumberOver8HoursEpisode","PercentageOver8HoursEpisode","NumberOver12HoursEpisode","PercentageOver12HoursEpisode"
"20150222","S92000003","S08000026","Z102H","Emergency Department",146,142,4,97.3,0,0,0,0
"20150222","S92000003","S08000030","T101H","Emergency Department",895,883,12,98.7,0,0,0,0
"20150222","S92000003","S08000030","T202H","Emergency Department",441,436,5,98.9,1,0.2,0,0
"20150222","S92000003","S08000028","W107H","Emergency Department",113,110,3,97.3,0,0,0,0
"20150301","S92000003","S08000015","A210H","Emergency Department",790,667,123,84.4,5,0.6,0,0
"20150301","S92000003","S08000015","A111H","Emergency Department",1399,1215,184,86.8,17,1.2,4,0.3
"20150301","S92000003","S08000016","B120H","Emergency Department",542,499,43,92.1,2,0.4,0,0
"20150301","S92000003","S08000017","Y146H","Emergency Department",644,604,40,93.8,1,0.2,0,0
"20150301","S92000003","S08000017","Y144H","Emergency Department",195,184,11,94.4,0,0,0,0
"20150301","S92000003","S08000029","F704H","Emergency Department",1223,1089,134,89,20,1.6,2,0.2
"20150301","S92000003","S08000019","V217H","Emergency Department",1050,999,51,95.1,0,0,0,0
"20150301","S92000003","S08000020","N101H","Emergency Department",1119,971,148,86.8,13,1.2,0,0
"20150301","S92000003","S08000020","N411H","Emergency Department",427,410,17,96,0,0,0,0
"20150301","S92000003","S08000020","N121H","Emergency Department",385,371,14,96.4,1,0.3,0,0
"20150301","S92000003","S08000031","G107H","Emergency Department",1509,1116,393,74,51,3.4,16,1.1
"20150301","S92000003","S08000031","C313H","Emergency Department",640,492,148,76.9,10,1.6,0,0
"20150301","S92000003","S08000031","C418H","Emergency Department",1262,1051,211,83.3,31,2.5,0,0
"20150301","S92000003","S08000031","G513H","Emergency Department",1001,984,17,98.3,0,0,0,0
"20150301","S92000003","S08000031","G405H","Emergency Department",926,708,218,76.5,39,4.2,14,1.5
"20150301","S92000003","S08000031","G306H","Emergency Department",1117,831,286,74.4,92,8.2,37,3.3
"20150301","S92000003","S08000031","G516H","Emergency Department",1089,703,386,64.6,117,10.7,35,3.2
"20150301","S92000003","S08000022","H212H","Emergency Department",130,122,8,93.8,1,0.8,1,0.8
"20150301","S92000003","S08000022","H103H","Emergency Department",115,106,9,92.2,1,0.9,1,0.9
"20150301","S92000003","S08000022","C121H","Emergency Department",108,108,0,100,0,0,0,0
"20150301","S92000003","S08000022","H202H","Emergency Department",570,517,53,90.7,8,1.4,0,0
"20150301","S92000003","S08000032","L302H","Emergency Department",1064,827,237,77.7,82,7.7,49,4.6
"20150301","S92000003","S08000032","L106H","Emergency Department",1242,1190,52,95.8,0,0,0,0
"20150301","S92000003","S08000032","L308H","Emergency Department",1136,908,228,79.9,69,6.1,27,2.4
"20150301","S92000003","S08000024","S319H","Emergency Department",861,849,12,98.6,0,0,0,0
"20150301","S92000003","S08000024","S314H","Emergency Department",2148,1982,166,92.3,15,0.7,1,0
"20150301","S92000003","S08000024","S308H","Emergency Department",1011,917,94,90.7,4,0.4,0,0
"20150301","S92000003","S08000025","R103H","Emergency Department",84,80,4,95.2,0,0,0,0
"20150301","S92000003","S08000026","Z102H","Emergency Department",152,149,3,98,0,0,0,0
"20150301","S92000003","S08000030","T101H","Emergency Department",878,867,11,98.7,0,0,0,0
"20150301","S92000003","S08000030","T202H","Emergency Department",465,453,12,97.4,0,0,0,0
"20150301","S92000003","S08000028","W107H","Emergency Department",119,113,6,95,0,0,0,0
"20150308","S92000003","S08000015","A210H","Emergency Department",811,664,147,81.9,19,2.3,7,0.9
"20150308","S92000003","S08000015","A111H","Emergency Department",1368,1233,135,90.1,11,0.8,0,0
"20150308","S92000003","S08000016","B120H","Emergency Department",557,492,65,88.3,1,0.2,0,0
"20150308","S92000003","S08000017","Y146H","Emergency Department",629,612,17,97.3,0,0,0,0
"20150308","S92000003","S08000017","Y144H","Emergency Department",217,207,10,95.4,1,0.5,0,0
"20150308","S92000003","S08000029","F704H","Emergency Department",1141,1012,129,88.7,37,3.2,5,0.4
"20150308","S92000003","S08000019","V217H","Emergency Department",1183,962,221,81.3,23,1.9,0,0
"20150308","S92000003","S08000020","N101H","Emergency Department",1083,969,114,89.5,9,0.8,0,0
"20150308","S92000003","S08000020","N411H","Emergency Department",430,392,38,91.2,3,0.7,0,0
"20150308","S92000003","S08000020","N121H","Emergency Department",386,382,4,99,0,0,0,0
"20150308","S92000003","S08000031","G107H","Emergency Department",1569,1265,304,80.6,13,0.8,0,0
"20150308","S92000003","S08000031","C313H","Emergency Department",579,539,40,93.1,2,0.3,0,0
"20150308","S92000003","S08000031","C418H","Emergency Department",1222,1078,144,88.2,3,0.2,0,0
"20150308","S92000003","S08000031","G513H","Emergency Department",916,905,11,98.8,0,0,0,0
"20150308","S92000003","S08000031","G405H","Emergency Department",887,726,161,81.8,10,1.1,0,0
"20150308","S92000003","S08000031","G306H","Emergency Department",1109,890,219,80.3,21,1.9,2,0.2
"20150308","S92000003","S08000031","G516H","Emergency Department",1077,826,251,76.7,31,2.9,0,0
"20150308","S92000003","S08000022","H212H","Emergency Department",135,133,2,98.5,0,0,0,0
"20150308","S92000003","S08000022","H103H","Emergency Department",130,123,7,94.6,0,0,0,0
"20150308","S92000003","S08000022","C121H","Emergency Department",119,118,1,99.2,0,0,0,0
"20150308","S92000003","S08000022","H202H","Emergency Department",559,539,20,96.4,1,0.2,0,0
"20150308","S92000003","S08000032","L302H","Emergency Department",1015,930,85,91.6,13,1.3,4,0.4
"20150308","S92000003","S08000032","L106H","Emergency Department",1283,1243,40,96.9,0,0,0,0
"20150308","S92000003","S08000032","L308H","Emergency Department",1071,954,117,89.1,17,1.6,0,0
"20150308","S92000003","S08000024","S319H","Emergency Department",861,842,19,97.8,0,0,0,0
"20150308","S92000003","S08000024","S314H","Emergency Department",2088,1984,104,95,10,0.5,1,0
"20150308","S92000003","S08000024","S308H","Emergency Department",1040,981,59,94.3,5,0.5,0,0
"20150308","S92000003","S08000025","R103H","Emergency Department",94,94,0,100,0,0,0,0
"20150308","S92000003","S08000026","Z102H","Emergency Department",137,135,2,98.5,0,0,0,0
"20150308","S92000003","S08000030","T101H","Emergency Department",884,880,4,99.5,0,0,0,0
"20150308","S92000003","S08000030","T202H","Emergency Department",446,432,14,96.9,1,0.2,0,0
"20150308","S92000003","S08000028","W107H","Emergency Department",125,123,2,98.4,0,0,0,0
"20150315","S92000003","S08000015","A210H","Emergency Department",751,710,41,94.5,2,0.3,0,0
"20150315","S92000003","S08000015","A111H","Emergency Department",1380,1222,158,88.6,23,1.7,16,1.2
"20150315","S92000003","S08000016","B120H","Emergency Department",508,468,40,92.1,0,0,0,0
"20150315","S92000003","S08000017","Y146H","Emergency Department",617,603,14,97.7,0,0,0,0
"20150315","S92000003","S08000017","Y144H","Emergency Department",196,189,7,96.4,0,0,0,0
"20150315","S92000003","S08000029","F704H","Emergency Department",1158,1030,128,88.9,20,1.7,0,0
"20150315","S92000003","S08000019","V217H","Emergency Department",1121,1071,50,95.5,3,0.3,0,0
"20150315","S92000003","S08000020","N101H","Emergency Department",1044,942,102,90.2,17,1.6,2,0.2
"20150315","S92000003","S08000020","N411H","Emergency Department",472,458,14,97,0,0,0,0
"20150315","S92000003","S08000020","N121H","Emergency Department",393,381,12,96.9,0,0,0,0
"20150315","S92000003","S08000031","G107H","Emergency Department",1517,1354,163,89.3,3,0.2,0,0
"20150315","S92000003","S08000031","C313H","Emergency Department",570,511,59,89.6,0,0,0,0
"20150315","S92000003","S08000031","C418H","Emergency Department",1270,1123,147,88.4,7,0.6,0,0
"20150315","S92000003","S08000031","G513H","Emergency Department",963,955,8,99.2,0,0,0,0
"20150315","S92000003","S08000031","G405H","Emergency Department",834,727,107,87.2,5,0.6,0,0
"20150315","S92000003","S08000031","G306H","Emergency Department",1147,1011,136,88.1,7,0.6,0,0
"20150315","S92000003","S08000031","G516H","Emergency Department",1028,854,174,83.1,36,3.5,0,0
"20150315","S92000003","S08000022","H212H","Emergency Department",168,155,13,92.3,1,0.6,0,0
"20150315","S92000003","S08000022","H103H","Emergency Department",119,112,7,94.1,0,0,0,0
"20150315","S92000003","S08000022","C121H","Emergency Department",123,121,2,98.4,0,0,0,0
"20150315","S92000003","S08000022","H202H","Emergency Department",550,539,11,98,0,0,0,0
"20150315","S92000003","S08000032","L302H","Emergency Department",1078,982,96,91.1,13,1.2,0,0
"20150315","S92000003","S08000032","L106H","Emergency Department",1329,1259,70,94.7,0,0,0,0
"20150315","S92000003","S08000032","L308H","Emergency Department",1126,963,163,85.5,16,1.4,0,0
"20150315","S92000003","S08000024","S319H","Emergency Department",968,955,13,98.7,1,0.1,0,0
"20150315","S92000003","S08000024","S314H","Emergency Department",2144,2043,101,95.3,5,0.2,0,0
"20150315","S92000003","S08000024","S308H","Emergency Department",1048,951,97,90.7,8,0.8,1,0.1
"20150315","S92000003","S08000025","R103H","Emergency Department",95,95,0,100,0,0,0,0
"20150315","S92000003","S08000026","Z102H","Emergency Department",156,148,8,94.9,0,0,0,0
"20150315","S92000003","S08000030","T101H","Emergency Department",816,806,10,98.8,0,0,0,0
"20150315","S92000003","S08000030","T202H","Emergency Department",444,438,6,98.6,0,0,0,0
"20150315","S92000003","S08000028","W107H","Emergency Department",105,104,1,99,0,0,0,0
"20150322","S92000003","S08000015","A210H","Emergency Department",856,828,28,96.7,0,0,0,0
"20150322","S92000003","S08000015","A111H","Emergency Department",1436,1202,234,83.7,23,1.6,3,0.2
"20150322","S92000003","S08000016","B120H","Emergency Department",540,497,43,92,4,0.7,0,0
"20150322","S92000003","S08000017","Y146H","Emergency Department",682,650,32,95.3,0,0,0,0
"20150322","S92000003","S08000017","Y144H","Emergency Department",216,209,7,96.8,0,0,0,0
"20150322","S92000003","S08000029","F704H","Emergency Department",1218,1108,110,91,16,1.3,0,0
"20150322","S92000003","S08000019","V217H","Emergency Department",1144,1097,47,95.9,0,0,0,0
"20150322","S92000003","S08000020","N101H","Emergency Department",1082,952,130,88,10,0.9,0,0
"20150322","S92000003","S08000020","N411H","Emergency Department",457,447,10,97.8,1,0.2,0,0
"20150322","S92000003","S08000020","N121H","Emergency Department",385,371,14,96.4,0,0,0,0
"20150322","S92000003","S08000031","G107H","Emergency Department",1559,1309,250,84,5,0.3,0,0
"20150322","S92000003","S08000031","C313H","Emergency Department",630,587,43,93.2,2,0.3,0,0
"20150322","S92000003","S08000031","C418H","Emergency Department",1298,1069,229,82.4,31,2.4,0,0
"20150322","S92000003","S08000031","G513H","Emergency Department",1062,1051,11,99,0,0,0,0
"20150322","S92000003","S08000031","G405H","Emergency Department",863,796,67,92.2,2,0.2,0,0
"20150322","S92000003","S08000031","G306H","Emergency Department",1105,1020,85,92.3,5,0.5,0,0
"20150322","S92000003","S08000031","G516H","Emergency Department",1179,919,260,77.9,32,2.7,0,0
"20150322","S92000003","S08000022","H212H","Emergency Department",168,162,6,96.4,0,0,0,0
"20150322","S92000003","S08000022","H103H","Emergency Department",131,121,10,92.4,0,0,0,0
"20150322","S92000003","S08000022","C121H","Emergency Department",127,124,3,97.6,0,0,0,0
"20150322","S92000003","S08000022","H202H","Emergency Department",619,580,39,93.7,1,0.2,0,0
"20150322","S92000003","S08000032","L302H","Emergency Department",1099,1027,72,93.4,9,0.8,1,0.1
"20150322","S92000003","S08000032","L106H","Emergency Department",1294,1255,39,97,0,0,0,0
"20150322","S92000003","S08000032","L308H","Emergency Department",1176,1093,83,92.9,5,0.4,1,0.1
"20150322","S92000003","S08000024","S319H","Emergency Department",933,904,29,96.9,0,0,0,0
"20150322","S92000003","S08000024","S314H","Emergency Department",2189,2025,164,92.5,32,1.5,1,0
"20150322","S92000003","S08000024","S308H","Emergency Department",1027,938,89,91.3,17,1.7,2,0.2
"20150322","S92000003","S08000025","R103H","Emergency Department",93,93,0,100,0,0,0,0
"20150322","S92000003","S08000026","Z102H","Emergency Department",138,137,1,99.3,0,0,0,0
"20150322","S92000003","S08000030","T101H","Emergency Department",901,897,4,99.6,0,0,0,0
"20150322","S92000003","S08000030","T202H","Emergency Department",524,519,5,99,0,0,0,0
"20150322","S92000003","S08000028","W107H","Emergency Department",116,114,2,98.3,0,0,0,0
"20150329","S92000003","S08000015","A210H","Emergency Department",844,778,66,92.2,1,0.1,0,0
"20150329","S92000003","S08000015","A111H","Emergency Department",1479,1199,280,81.1,47,3.2,1,0.1
"20150329","S92000003","S08000016","B120H","Emergency Department",548,500,48,91.2,2,0.4,0,0
"20150329","S92000003","S08000017","Y146H","Emergency Department",653,641,12,98.2,0,0,0,0
"20150329","S92000003","S08000017","Y144H","Emergency Department",265,255,10,96.2,1,0.4,0,0
"20150329","S92000003","S08000029","F704H","Emergency Department",1200,1087,113,90.6,21,1.8,8,0.7
"20150329","S92000003","S08000019","V217H","Emergency Department",1146,1083,63,94.5,1,0.1,0,0
"20150329","S92000003","S08000020","N101H","Emergency Department",1074,986,88,91.8,5,0.5,0,0
"20150329","S92000003","S08000020","N411H","Emergency Department",488,482,6,98.8,0,0,0,0
"20150329","S92000003","S08000020","N121H","Emergency Department",382,377,5,98.7,0,0,0,0
"20150329","S92000003","S08000031","G107H","Emergency Department",1532,1352,180,88.3,5,0.3,0,0
"20150329","S92000003","S08000031","C313H","Emergency Department",615,557,58,90.6,1,0.2,0,0
"20150329","S92000003","S08000031","C418H","Emergency Department",1285,1103,182,85.8,16,1.2,0,0
"20150329","S92000003","S08000031","G513H","Emergency Department",1042,1033,9,99.1,0,0,0,0
"20150329","S92000003","S08000031","G405H","Emergency Department",925,860,65,93,2,0.2,0,0
"20150329","S92000003","S08000031","G306H","Emergency Department",1127,939,188,83.3,9,0.8,0,0
"20150329","S92000003","S08000031","G516H","Emergency Department",1104,870,234,78.8,15,1.4,1,0.1
"20150329","S92000003","S08000022","H212H","Emergency Department",183,168,15,91.8,0,0,0,0
"20150329","S92000003","S08000022","H103H","Emergency Department",119,115,4,96.6,1,0.8,0,0
"20150329","S92000003","S08000022","C121H","Emergency Department",122,118,4,96.7,0,0,0,0
"20150329","S92000003","S08000022","H202H","Emergency Department",608,586,22,96.4,1,0.2,0,0
"20150329","S92000003","S08000032","L302H","Emergency Department",1164,1080,84,92.8,10,0.9,1,0.1
"20150329","S92000003","S08000032","L106H","Emergency Department",1341,1274,67,95,0,0,0,0
"20150329","S92000003","S08000032","L308H","Emergency Department",1178,991,187,84.1,46,3.9,9,0.8
"20150329","S92000003","S08000024","S319H","Emergency Department",989,984,5,99.5,0,0,0,0
"20150329","S92000003","S08000024","S314H","Emergency Department",2256,2025,231,89.8,29,1.3,2,0.1
"20150329","S92000003","S08000024","S308H","Emergency Department",1050,1007,43,95.9,2,0.2,0,0
"20150329","S92000003","S08000025","R103H","Emergency Department",72,71,1,98.6,0,0,0,0
"20150329","S92000003","S08000026","Z102H","Emergency Department",159,154,5,96.9,0,0,0,0
"20150329","S92000003","S08000030","T101H","Emergency Department",883,882,1,99.9,0,0,0,0
"20150329","S92000003","S08000030","T202H","Emergency Department",485,478,7,98.6,0,0,0,0
"20150329","S92000003","S08000028","W107H","Emergency Department",105,104,1,99,0,0,0,0
"20150405","S92000003","S08000015","A210H","Emergency Department",849,807,42,95.1,1,0.1,0,0
"20150405","S92000003","S08000015","A111H","Emergency Department",1408,1234,174,87.6,23,1.6,1,0.1
"20150405","S92000003","S08000016","B120H","Emergency Department",539,520,19,96.5,0,0,0,0
"20150405","S92000003","S08000017","Y146H","Emergency Department",660,631,29,95.6,3,0.5,0,0
"20150405","S92000003","S08000017","Y144H","Emergency Department",246,236,10,95.9,0,0,0,0
"20150405","S92000003","S08000029","F704H","Emergency Department",1286,1176,110,91.4,7,0.5,0,0
"20150405","S92000003","S08000019","V217H","Emergency Department",1229,1127,102,91.7,0,0,0,0
"20150405","S92000003","S08000020","N101H","Emergency Department",1125,988,137,87.8,7,0.6,0,0
"20150405","S92000003","S08000020","N411H","Emergency Department",431,413,18,95.8,1,0.2,0,0
"20150405","S92000003","S08000020","N121H","Emergency Department",356,353,3,99.2,0,0,0,0
"20150405","S92000003","S08000031","G107H","Emergency Department",1562,1312,250,84,11,0.7,0,0
"20150405","S92000003","S08000031","C313H","Emergency Department",585,542,43,92.6,1,0.2,0,0
"20150405","S92000003","S08000031","C418H","Emergency Department",1270,1053,217,82.9,16,1.3,0,0
"20150405","S92000003","S08000031","G513H","Emergency Department",1015,1000,15,98.5,0,0,0,0
"20150405","S92000003","S08000031","G405H","Emergency Department",896,810,86,90.4,0,0,0,0
"20150405","S92000003","S08000031","G306H","Emergency Department",1125,981,144,87.2,5,0.4,0,0
"20150405","S92000003","S08000031","G516H","Emergency Department",1074,857,217,79.8,13,1.2,0,0
"20150405","S92000003","S08000022","H212H","Emergency Department",153,153,0,100,0,0,0,0
"20150405","S92000003","S08000022","H103H","Emergency Department",129,122,7,94.6,0,0,0,0
"20150405","S92000003","S08000022","C121H","Emergency Department",157,155,2,98.7,0,0,0,0
"20150405","S92000003","S08000022","H202H","Emergency Department",693,662,31,95.5,0,0,0,0
"20150405","S92000003","S08000032","L302H","Emergency Department",1094,1023,71,93.5,19,1.7,1,0.1
"20150405","S92000003","S08000032","L106H","Emergency Department",1257,1159,98,92.2,4,0.3,1,0.1
"20150405","S92000003","S08000032","L308H","Emergency Department",1187,962,225,81,53,4.5,7,0.6
"20150405","S92000003","S08000024","S319H","Emergency Department",941,915,26,97.2,0,0,0,0
"20150405","S92000003","S08000024","S314H","Emergency Department",2255,1965,290,87.1,69,3.1,0,0
"20150405","S92000003","S08000024","S308H","Emergency Department",1035,965,70,93.2,4,0.4,0,0
"20150405","S92000003","S08000025","R103H","Emergency Department",84,82,2,97.6,0,0,0,0
"20150405","S92000003","S08000026","Z102H","Emergency Department",136,135,1,99.3,0,0,0,0
"20150405","S92000003","S08000030","T101H","Emergency Department",901,880,21,97.7,0,0,0,0
"20150405","S92000003","S08000030","T202H","Emergency Department",493,486,7,98.6,0,0,0,0
"20150405","S92000003","S08000028","W107H","Emergency Department",119,115,4,96.6,2,1.7,0,0
"20150412","S92000003","S08000015","A210H","Emergency Department",840,752,88,89.5,7,0.8,0,0
"20150412","S92000003","S08000015","A111H","Emergency Department",1425,1288,137,90.4,43,3,7,0.5
"20150412","S92000003","S08000016","B120H","Emergency Department",558,526,32,94.3,2,0.4,0,0
"20150412","S92000003","S08000017","Y146H","Emergency Department",647,629,18,97.2,0,0,0,0
"20150412","S92000003","S08000017","Y144H","Emergency Department",267,260,7,97.4,1,0.4,0,0
"20150412","S92000003","S08000029","F704H","Emergency Department",1261,1113,148,88.3,33,2.6,12,1
"20150412","S92000003","S08000019","V217H","Emergency Department",1232,1132,100,91.9,1,0.1,0,0
"20150412","S92000003","S08000020","N101H","Emergency Department",1058,980,78,92.6,7,0.7,1,0.1
"20150412","S92000003","S08000020","N411H","Emergency Department",491,466,25,94.9,2,0.4,0,0
"20150412","S92000003","S08000020","N121H","Emergency Department",346,340,6,98.3,0,0,0,0
"20150412","S92000003","S08000031","G107H","Emergency Department",1475,1360,115,92.2,1,0.1,0,0
"20150412","S92000003","S08000031","C313H","Emergency Department",615,583,32,94.8,0,0,0,0
"20150412","S92000003","S08000031","C418H","Emergency Department",1353,1164,189,86,11,0.8,0,0
"20150412","S92000003","S08000031","G513H","Emergency Department",1000,997,3,99.7,0,0,0,0
"20150412","S92000003","S08000031","G405H","Emergency Department",949,841,108,88.6,4,0.4,0,0
"20150412","S92000003","S08000031","G306H","Emergency Department",1175,1017,158,86.6,21,1.8,1,0.1
"20150412","S92000003","S08000031","G516H","Emergency Department",1082,866,216,80,10,0.9,0,0
"20150412","S92000003","S08000022","H212H","Emergency Department",180,175,5,97.2,1,0.6,0,0
"20150412","S92000003","S08000022","H103H","Emergency Department",115,114,1,99.1,0,0,0,0
"20150412","S92000003","S08000022","C121H","Emergency Department",126,124,2,98.4,0,0,0,0
"20150412","S92000003","S08000022","H202H","Emergency Department",638,629,9,98.6,1,0.2,0,0
"20150412","S92000003","S08000032","L302H","Emergency Department",1155,911,244,78.9,19,1.6,7,0.6
"20150412","S92000003","S08000032","L106H","Emergency Department",1288,1200,88,93.2,0,0,0,0
"20150412","S92000003","S08000032","L308H","Emergency Department",1199,1101,98,91.8,11,0.9,0,0
"20150412","S92000003","S08000024","S319H","Emergency Department",955,944,11,98.8,0,0,0,0
"20150412","S92000003","S08000024","S314H","Emergency Department",2256,2051,205,90.9,20,0.9,2,0.1
"20150412","S92000003","S08000024","S308H","Emergency Department",1060,960,100,90.6,7,0.7,0,0
"20150412","S92000003","S08000025","R103H","Emergency Department",89,88,1,98.9,0,0,0,0
"20150412","S92000003","S08000026","Z102H","Emergency Department",130,125,5,96.2,0,0,0,0
"20150412","S92000003","S08000030","T101H","Emergency Department",954,935,19,98,0,0,0,0
"20150412","S92000003","S08000030","T202H","Emergency Department",454,451,3,99.3,0,0,0,0
"20150412","S92000003","S08000028","W107H","Emergency Department",158,156,2,98.7,0,0,0,0
"20150419","S92000003","S08000015","A210H","Emergency Department",800,716,84,89.5,8,1,3,0.4
"20150419","S92000003","S08000015","A111H","Emergency Department",1328,1134,194,85.4,13,1,0,0
"20150419","S92000003","S08000016","B120H","Emergency Department",555,529,26,95.3,0,0,0,0
"20150419","S92000003","S08000017","Y146H","Emergency Department",639,589,50,92.2,1,0.2,0,0
"20150419","S92000003","S08000017","Y144H","Emergency Department",220,215,5,97.7,1,0.5,0,0
"20150419","S92000003","S08000029","F704H","Emergency Department",1169,1093,76,93.5,7,0.6,0,0
"20150419","S92000003","S08000019","V217H","Emergency Department",1187,1089,98,91.7,0,0,0,0
"20150419","S92000003","S08000020","N101H","Emergency Department",1096,1018,78,92.9,4,0.4,0,0
"20150419","S92000003","S08000020","N411H","Emergency Department",496,484,12,97.6,1,0.2,0,0
"20150419","S92000003","S08000020","N121H","Emergency Department",296,291,5,98.3,0,0,0,0
"20150419","S92000003","S08000031","G107H","Emergency Department",1584,1355,229,85.5,13,0.8,0,0
"20150419","S92000003","S08000031","C313H","Emergency Department",630,554,76,87.9,5,0.8,0,0
"20150419","S92000003","S08000031","C418H","Emergency Department",1258,1080,178,85.9,14,1.1,0,0
"20150419","S92000003","S08000031","G513H","Emergency Department",899,893,6,99.3,0,0,0,0
"20150419","S92000003","S08000031","G405H","Emergency Department",896,774,122,86.4,2,0.2,0,0
"20150419","S92000003","S08000031","G306H","Emergency Department",1095,876,219,80,27,2.5,0,0
"20150419","S92000003","S08000031","G516H","Emergency Department",1139,915,224,80.3,32,2.8,0,0
"20150419","S92000003","S08000022","H212H","Emergency Department",166,164,2,98.8,0,0,0,0
"20150419","S92000003","S08000022","H103H","Emergency Department",100,86,14,86,2,2,0,0
"20150419","S92000003","S08000022","C121H","Emergency Department",145,142,3,97.9,0,0,0,0
"20150419","S92000003","S08000022","H202H","Emergency Department",599,546,53,91.2,1,0.2,0,0
"20150419","S92000003","S08000032","L302H","Emergency Department",1120,909,211,81.2,48,4.3,26,2.3
"20150419","S92000003","S08000032","L106H","Emergency Department",1279,1222,57,95.5,1,0.1,0,0
"20150419","S92000003","S08000032","L308H","Emergency Department",1114,978,136,87.8,28,2.5,4,0.4
"20150419","S92000003","S08000024","S319H","Emergency Department",843,834,9,98.9,0,0,0,0
"20150419","S92000003","S08000024","S314H","Emergency Department",2184,2097,87,96,6,0.3,0,0
"20150419","S92000003","S08000024","S308H","Emergency Department",973,918,55,94.3,5,0.5,0,0
"20150419","S92000003","S08000025","R103H","Emergency Department",97,93,4,95.9,0,0,0,0
"20150419","S92000003","S08000026","Z102H","Emergency Department",155,153,2,98.7,0,0,0,0
"20150419","S92000003","S08000030","T101H","Emergency Department",902,881,21,97.7,0,0,0,0
"20150419","S92000003","S08000030","T202H","Emergency Department",485,483,2,99.6,1,0.2,1,0.2
"20150419","S92000003","S08000028","W107H","Emergency Department",135,128,7,94.8,0,0,0,0
"20150426","S92000003","S08000015","A210H","Emergency Department",824,718,106,87.1,7,0.8,2,0.2
"20150426","S92000003","S08000015","A111H","Emergency Department",1544,1256,288,81.3,45,2.9,12,0.8
"20150426","S92000003","S08000016","B120H","Emergency Department",539,509,30,94.4,0,0,0,0
"20150426","S92000003","S08000017","Y146H","Emergency Department",647,634,13,98,0,0,0,0
"20150426","S92000003","S08000017","Y144H","Emergency Department",218,213,5,97.7,1,0.5,0,0
"20150426","S92000003","S08000029","F704H","Emergency Department",1195,1148,47,96.1,2,0.2,0,0
"20150426","S92000003","S08000019","V217H","Emergency Department",1199,1104,95,92.1,3,0.3,0,0
"20150426","S92000003","S08000020","N101H","Emergency Department",1090,1012,78,92.8,5,0.5,0,0
"20150426","S92000003","S08000020","N411H","Emergency Department",453,433,20,95.6,1,0.2,0,0
